,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MTech Sem-I (ICT-SS),,IT582,Foundations of Machine Learning ,3-0-2-4,General Elective (Technical),MVJ,CEP-205,,IT457,Cloud Computing,3-0-2-4,SS General Elective (Technical),PKS,CEP-209,,,,,,,,,PC503,Programming Lab,1-0-4-3,Program Core,AV,CEP-204,,IE403,Human Computer Interaction,3-0-2-4,General Elective (Technical),PKS,CEP-103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MTech Sem-I (ICT-ML),,IT582,Foundations of Machine Learning ,3-0-2-4,ML Sp. Core,MVJ,CEP-205,,IT457,Cloud Computing,3-0-2-4,SS General Elective (Technical),PKS,CEP-209,,,,,,,,,PC503,Programming Lab,1-0-4-3,Program Core,AV,CEP-204,,IE403,Human Computer Interaction,3-0-2-4,General Elective (Technical),PKS,CEP-103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MTech Sem-I (ICT-VLSI&ES),,EL526,VLSI System Design,3-0-2-4,VES Sp. Core,YA,CEP-108,,EL467,Digital Programming,3-0-2-4,VES General Elective (Technical),YA,CEP-108,,,,,,,,,PC503,Programming Lab,1-0-4-3,Program Core,AV,CEP-204,,IE407,Internet of Things,3-0-2-4,General Elective (Technical),VSP,CEP-204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MTech Sem-I (ICT-WCSP),,IT582,Foundations of Machine Learning ,3-0-2-4,WCSP General Elective (Technical),MVJ,CEP-205,,,,,,,,,,,,,,,,PC503,Programming Lab,1-0-4-3,Program Core,AV,CEP-204,,,,,,,
,,,EL526,VLSI System Design,3-0-2-4,WCSP General Elective (Technical),YA,CEP-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MTech Sem-III (ICT-SS),,,,,,,,,IT531,Advanced Computer Networks,3-0-2-4,Technical Elective,AG1,CEP-205,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT586,Trustworthy AI – Theory and Practice,3-0-2-4,SS Elective III/IV,AKS,CEP-203
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
