Dhirubhai Ambani Institute of Information and Communication Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lecture Time-Table (Autumn '2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Batch,,Monday,,,,,,,Tuesday,,,,,,,Wednesday,,,,,,,Thursday,,,,,,,Friday,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00 - 8:50,,,Slot-5,,,,,,,Slot-8,,,,,,,Slot-6,,,,,,,Slot-7,,,,,,,Slot-3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE402,Optimization,3-0-2-4,General Elective (Maths),NKS,CEP-108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MTech Sem-I (ICT-VLSI&ES),,EL467,Digital Programming,3-0-2-4,General Elective (Technical),YA,CEP-108,,,,,,,,,EL526,VLSI System Design,3-0-2-4,VES Sp. Core,YA,CEP-109,,IT582,Foundations of Machine Learning ,3-0-2-4,General Elective (Technical),MVJ,CEP-106,,IE403,Human Computer Interaction,3-0-2-4,General Elective (Technical),MK,CEP-103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE407,Internet of Things,3-0-2-4,General Elective (Technical),VSP,CEP-204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE402,Optimization,3-0-2-4,General Elective (Maths),NKS,CEP-108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MTech Sem-I (ICT-WCSP),,EL467,Digital Programming,3-0-2-4,General Elective (Technical),YA,CEP-108,,,,,,,,,CT549,Introduction to Wireless Communication,3-0-2-4,WCSP Sp. Core,AJ,CEP-107,,IT582,Foundations of Machine Learning ,3-0-2-4,General Elective (Technical),MVJ,CEP-106,,IE403,Human Computer Interaction,3-0-2-4,General Elective (Technical),MK,CEP-103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE407,Internet of Things,3-0-2-4,General Elective (Technical),VSP,CEP-204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE402,Optimization,3-0-2-4,General Elective (Maths),NKS,CEP-108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MTech Sem-III (ICT-SS),,,,,,,,,IT531,Advanced Computer Networks,3-0-2-4,SS Elective III/IV,PKS,CEP-209,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MTech Sem-III (ICT-ML),,,,,,,,,IT594,Deep Neural NLP & Applications,3-0-2-4,ML Elective III/IV,SDG,CEP-204,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
