id,instructor_id,course_id,created_at,updated_at
1e860567-5ebe-4a4e-90dc-9c5291e15307,abfde34f-c26c-4619-bd49-ee7c68d53f94,a104dbd2-83af-4568-bbb7-ead14e6b9c81,2025-07-23 02:20:18.682265+00,2025-07-23 02:20:18.682312+00
20a1e58c-3980-4bc5-a076-7826ba936212,c96825d9-3c67-4dc0-8438-60a7790788f5,6c51ed8b-9c6e-4553-b9a3-56e84eb8a1ae,2025-07-23 02:20:51.836053+00,2025-07-23 02:20:51.836105+00
20d8c4df-8443-4ea3-9e65-e51d9aa8b7d6,f394f865-9f0f-48e4-aff4-8faa62f1b546,45402262-754b-4a3e-a187-391b4fe240bd,2025-07-23 02:18:33.227437+00,2025-07-23 02:18:33.227509+00
2114868d-d086-4820-af24-20d0201392f5,3e1d9166-f135-4281-875e-004c7f1217ff,182a25ec-6246-4227-8113-45b702c80ebe,2025-07-23 02:18:29.53421+00,2025-07-23 02:18:29.534266+00
21cda991-2c23-40cb-bdce-6aebf80fcd1f,30c85141-1719-48a9-846b-061ebd8fe793,cec6538e-336f-49c2-a76b-91613e337395,2025-07-23 02:18:32.485582+00,2025-07-23 02:18:32.485639+00
2239c211-88fc-406b-af5e-b8585c20e28b,e7c07afa-f2da-4c02-b5b0-2fb1188eded2,e28dcece-e397-4959-8139-ce493f7edd86,2025-07-23 02:20:14.731931+00,2025-07-23 02:20:14.73199+00
25d228ea-d00f-4818-b4ec-cc2f5b991b1a,fe27e524-68f9-4d14-8ac8-30cb15513ce9,bcf16f70-4aca-4fda-bb49-ff4e2d9027a8,2025-07-23 02:19:15.954721+00,2025-07-23 02:19:15.954772+00
2672a346-7f3e-46c8-9ba0-cecd75ed10dd,488654fc-95f1-4065-91f1-b6a7e5224129,0397c1dd-b85f-4205-8b59-c7633491790a,2025-07-23 02:19:51.577523+00,2025-07-23 02:19:51.577563+00
27948d84-d2b6-4842-9c8f-d1d34c438cf6,bdf3f6b1-d661-4afb-aa5e-7aaa287d6394,928373f3-8970-48f3-b2b9-f61e781d92d6,2025-07-23 02:20:54.849645+00,2025-07-23 02:20:54.849691+00
27b0d5fe-72cd-4e3a-bbe7-e2769cb89b04,84058616-d360-4959-81ef-aa2241864e31,0fce17b0-70d3-44e3-ac3c-bb3299406b2c,2025-07-23 02:19:09.527692+00,2025-07-23 02:19:09.527893+00
2826d26e-410d-494d-b243-2af42bd61669,365e2e81-92a3-4588-a6c9-a89e324bfceb,25a78bff-9e79-4828-a1f1-6e48554ccfcf,2025-07-23 02:20:43.765887+00,2025-07-23 02:20:43.765941+00
297772e2-b8e2-42c3-b6ae-8d5f1286eb39,189ab287-386e-418f-9a53-ff4495832bf5,fc4da93a-6462-41bf-a678-47a90761f33c,2025-07-23 02:19:13.745786+00,2025-07-23 02:19:13.745831+00
29e7b7c1-74b3-4895-8ee9-be13aa922e71,d171a840-3ff7-4178-8920-18d1f55a98bc,21f9bcaa-5996-4bf7-b561-c5a2e6e6ca02,2025-07-23 02:19:55.884167+00,2025-07-23 02:19:55.884233+00
2a4e2ca2-8530-4855-b77e-e3d2d2aa28f1,d2fbae12-8e78-45cd-a7b2-46e4e18a91e9,fbcd72fa-dad5-4ea1-a260-8320f2980bea,2025-07-23 02:20:04.423771+00,2025-07-23 02:20:04.423813+00
